101,65,D,BusCall1,Bus call 1,bus calls,Transportation,2
102,66,D,BusCall2,Bus call 2,bus calls,Transportation,2
103,67,D,BusCall3,Bus call 3,bus calls,Transportation,2
104,68,D,BusCall4,Bus call 4,bus calls,Transportation,2
105,69,D,BusCall5,Bus call 5,bus calls,Transportation,2
106,6a,D,BusCall6,Bus call 6,bus calls,Transportation,2
107,6b,D,BusCall7,Bus call 7,bus calls,Transportation,2
108,6c,D,BusCall8,Bus call 8,bus calls,Transportation,2
109,6d,D,BusCall9,Bus call 9,bus calls,Transportation,2
131,83,D,LIFTCall1,LIFT call 1,bus calls,Transportation,2
132,84,D,LIFTCall2,LIFT call 2,bus calls,Transportation,2
133,85,D,LIFTCall3,LIFT call 3,bus calls,Transportation,2
134,86,D,LIFTCall4,LIFT call 4,bus calls,Transportation,2
135,87,D,LIFTCall5,LIFT call 5,bus calls,Transportation,2
1739,6cb,D,MAXWestMaint,Rail Maintenance - Westside,MAX other,Transportation,3
1741,6cd,D,BusTac2,Bus Tac 2,bus,Transportation,2
1743,6cf,D,ICS1,ICS 1,general,Transportation,3
1745,6d1,D,MAXCBDMaint,CBD Rail Maintenance,MAX other,Transportation,3
1747,6d3,D,CustomerSvc,Customer Service,general,Transportation,2
1749,6d5,D,MAXCntrlMaint,Central Train Maintenance,MAX other,Transportation,3
1751,6d7,D,MAXWestTac,West Rail Tactical,MAX other,Transportation,3
1753,6d9,D,MAXCntrlTac,Central Train Tactical,MAX other,Transportation,3
1755,6db,D,MAXCBDTac,CBD Train Tactical,MAX other,Transportation,3
1757,6dd,D,Chat,Fare Inspectors 2,general,Transportation,3
1759,6df,D,MAXEastMaint,East Train Maintenance,MAX other,Transportation,3
1761,6e1,D,ElmonicaYard,Elmonica Yard Ops,MAX other,Transportation,4
1763,6e3,D,MAXEast,East of NE 82nd Ave,MAX main,Transportation,1
1765,6e5,D,MAXWest,West of Providence Park,MAX main,Transportation,1
1767,6e7,D,MAXCntrl,Central Train movement,MAX main,Transportation,1
1769,6e9,D,RubyJctYard,Ruby Junction Yard,MAX other,Transportation,4
1771,6eb,D,MAXCBD,CBD Train Movement,MAX main,Transportation,1
1773,6ed,D,MAXStaAgent,MAX Station Agent,MAX other,Transportation,5
1775,6ef,D,MAXEastTac,East Train Tactical,MAX other,Transportation,3
1777,6f1,D,BusDispatch,Bus Dispatch,bus,Transportation,1
1779,6f3,D,R-Check,Repeat Offender Checks/Records,general,Transportation,5
1781,6f5,D,BusTac1,Bus Tac 1,bus,Transportation,2
1789,6fd,D,ICS3or6,ICS 3 or 6,general,Transportation,3
2401,961,D,Streetcar,Portland Streetcar Main,general,Transportation,1
12005,2ee5,D,CustomerSvc2,Customer Service 2,general,Transportation,2
15205,3b65,D,LIFTDefault,LIFT Default,LIFT,Transportation,3
15305,3bc9,D,LIFTFallback0,Bus Administration/Fallback,LIFT,Transportation,3
16205,3f4d,D,MOWOCS1,Rail Switching Crews,MAX other,Transportation,3
17000,4268,D,BusAdminAnnounce,Operator Information/Announcements,bus mic,Transportation,3
17010,4272,D,BusAdHoc2,Bus Intercom,bus mic,Transportation,3
17015,4277,D,BusAdHoc3,Bus Intercom,bus mic,Transportation,3
17020,427c,D,BusAdHoc4,Bus Intercom,bus mic,Transportation,3
17025,4281,D,BusAdHoc5,Bus Intercom,bus mic,Transportation,3
17030,4286,D,BusAdHoc6,Bus Intercom,bus mic,Transportation,3
17035,428b,D,BusAdHoc7,Bus Intercom,bus mic,Transportation,3
17105,42d1,D,BusFallback0,Bus Intercom,bus mic,Transportation,3
17305,4399,D,BusDefault,Bus Events,bus mic,Transportation,3
19000,4a38,D,MAXAnnounce,Train Intercom,MAX other,Transportation,3
19105,4aa1,D,ElmonicaAgnt,MAX Elmonica Agent,MAX other,Transportation,5
41006,a02e,D,basesta41006,base station 41006,bus calls,Transportation,3
